x,f_ij,contrib_m
1.6246418338108883,0.20239072,-0.08648666
1.6418338108882526,0.20934537,-0.089458555
1.659025787965616,0.21634932,-0.09245152
1.6762177650429804,0.22339696,-0.09546316
1.6934097421203438,0.23048276,-0.098491095
1.710601719197708,0.2376011,-0.10153294
1.7277936962750715,0.24474657,-0.10458638
1.7449856733524358,0.2519136,-0.107649036
1.7621776504297992,0.25909662,-0.11071852
1.7793696275071635,0.26629,-0.113792434
1.796561604584527,0.2734884,-0.11686849
1.8137535816618913,0.2806862,-0.11994429
1.8309455587392547,0.28787777,-0.12301743
1.848137535816619,0.29505762,-0.12608556
1.8653295128939833,0.30222023,-0.12914632
1.8825214899713467,0.30936012,-0.13219738
1.899713467048711,0.31647167,-0.13523632
1.9169054441260744,0.32354924,-0.13826075
1.9340974212034387,0.33058757,-0.1412684
1.9512893982808022,0.3375809,-0.14425683
1.9684813753581665,0.34452373,-0.14722368
1.98567335243553,0.35141054,-0.15016659
2.002865329512894,0.3582358,-0.15308319
2.0200573065902576,0.3649939,-0.1559711
2.037249283667622,0.37167948,-0.15882802
2.0544412607449853,0.37828675,-0.16165146
2.0716332378223496,0.38481036,-0.16443917
2.088825214899714,0.39124468,-0.16718872
2.1060171919770774,0.39758417,-0.16989774
2.1232091690544417,0.40382347,-0.17256396
2.140401146131805,0.4099567,-0.17518483
2.1575931232091694,0.4159786,-0.17775816
2.174785100286533,0.42188352,-0.18028148
2.191977077363897,0.42766592,-0.18275243
2.2091690544412605,0.43332034,-0.18516871
2.226361031518625,0.4388411,-0.18752787
2.2435530085959883,0.44422278,-0.18982759
2.2607449856733526,0.44946015,-0.19206566
2.277936962750716,0.4545527,-0.19424184
2.2951289398280803,0.4595034,-0.1963574
2.3123209169054446,0.46431524,-0.19841361
2.329512893982808,0.46899113,-0.20041174
2.3467048710601723,0.47353423,-0.20235312
2.3638968481375358,0.47794726,-0.20423892
2.3810888252149,0.48223346,-0.20607053
2.3982808022922635,0.48639572,-0.20784916
2.415472779369628,0.490437,-0.2095761
2.432664756446991,0.49436048,-0.2112527
2.4498567335243555,0.49816892,-0.21288013
2.467048710601719,0.5018654,-0.21445973
2.4842406876790832,0.505453,-0.21599281
2.5014326647564467,0.5089345,-0.21748054
2.518624641833811,0.5123131,-0.21892431
2.5358166189111753,0.51559174,-0.22032535
2.5530085959885387,0.5187733,-0.22168492
2.570200573065903,0.5218611,-0.2230044
2.5873925501432664,0.5248576,-0.22428489
2.6045845272206307,0.5277662,-0.22552782
2.621776504297994,0.5305899,-0.22673443
2.6389684813753584,0.5333314,-0.22790596
2.656160458452722,0.5359938,-0.22904368
2.673352435530086,0.5385804,-0.230149
2.6905444126074496,0.5410938,-0.23122303
2.707736389684814,0.5435372,-0.23226716
2.724928366762178,0.54591346,-0.23328258
2.7421203438395416,0.54822576,-0.23427069
2.759312320916906,0.55047685,-0.23523264
2.7765042979942693,0.5526699,-0.23616979
2.7936962750716337,0.5548079,-0.2370834
2.810888252148997,0.55689377,-0.23797475
2.8280802292263614,0.5589305,-0.23884511
2.845272206303725,0.5609212,-0.23969577
2.862464183381089,0.56286865,-0.24052797
2.8796561604584525,0.56477594,-0.241343
2.896848137535817,0.5666462,-0.24214222
2.9140401146131802,0.5684823,-0.24292682
2.9312320916905446,0.57028717,-0.24369809
2.948424068767909,0.57206404,-0.2444574
2.9656160458452723,0.57381564,-0.2452059
2.9828080229226366,0.57554495,-0.24594487
3.0,0.57725525,-0.24667573
