t,cell_edge_contrib_mean,cell_edge_contrib_max,out_edge_contrib_mean,out_edge_contrib_max
50,0.018149103969335556,0.4420630633831024,0.06815262138843536,0.5793935656547546
51,0.018185554072260857,0.4436371922492981,0.06822427362203598,0.5796616673469543
52,0.018060559406876564,0.4405624568462372,0.06803245097398758,0.5806466341018677
53,0.01807025820016861,0.4393693804740906,0.06796430796384811,0.5781924724578857
54,0.018124889582395554,0.4421253502368927,0.06810103356838226,0.5788153409957886
55,0.01817181520164013,0.4420222342014313,0.06818611174821854,0.5789419412612915
56,0.018150335177779198,0.4410537779331207,0.06816882640123367,0.5801326632499695
57,0.01812460646033287,0.4408721327781677,0.06812264025211334,0.5800405740737915
58,0.018152644857764244,0.44230878353118896,0.0681578665971756,0.579350471496582
59,0.018182937055826187,0.4436478614807129,0.06822194159030914,0.5797492265701294
60,0.018057437613606453,0.44031772017478943,0.0680244043469429,0.5806052684783936
61,0.018077310174703598,0.4395067095756531,0.06797678023576736,0.5781720280647278
62,0.01813982054591179,0.4424746632575989,0.0681317076086998,0.5789437294006348
63,0.018187057226896286,0.44265156984329224,0.06822184473276138,0.5792561769485474
64,0.018160853534936905,0.4414806365966797,0.06819459795951843,0.5803917646408081
65,0.01812136359512806,0.44109320640563965,0.06812244653701782,0.5802160501480103
66,0.018142078071832657,0.44199812412261963,0.06813467293977737,0.5792430639266968
67,0.01817384734749794,0.4433894753456116,0.06819985061883926,0.5795341730117798
68,0.01804443448781967,0.4399626851081848,0.06799713522195816,0.580443263053894
69,0.0180513896048069,0.4385673999786377,0.06792470812797546,0.5779251456260681
70,0.01813383772969246,0.44252705574035645,0.06811109185218811,0.5785824656486511
71,0.018162842839956284,0.44254642724990845,0.06818543374538422,0.5795010328292847
72,0.018145041540265083,0.4409954249858856,0.06815283000469208,0.5799902677536011
73,0.018109479919075966,0.4407069981098175,0.06809510290622711,0.5799283385276794
74,0.018133088946342468,0.4419713318347931,0.0681152418255806,0.5791525840759277
75,0.018152248114347458,0.44330769777297974,0.06816239655017853,0.5796443223953247
76,0.018033234402537346,0.4398970305919647,0.06796582043170929,0.5800961852073669
77,0.01804189383983612,0.43850380182266235,0.06790304183959961,0.5777146220207214
78,0.01812884584069252,0.44246500730514526,0.0680965855717659,0.5784507989883423
79,0.018144382163882256,0.4421499967575073,0.06815069168806076,0.5794700384140015
80,0.018141891807317734,0.44094109535217285,0.06813742965459824,0.5797200202941895
81,0.018105631694197655,0.4403548538684845,0.06808508932590485,0.5797894597053528
82,0.018146615475416183,0.44225746393203735,0.06813719868659973,0.5791124105453491
83,0.018173661082983017,0.4441957175731659,0.06820881366729736,0.5799453258514404
84,0.018055226653814316,0.44046950340270996,0.06801245361566544,0.5804331302642822
85,0.01805334910750389,0.4390036463737488,0.06793393194675446,0.5780780911445618
86,0.018144967034459114,0.4430060088634491,0.06812865287065506,0.5786077976226807
87,0.018136542290449142,0.44212254881858826,0.0681457594037056,0.5797930955886841
88,0.018142828717827797,0.44087183475494385,0.06813362240791321,0.5795819759368896
89,0.018104206770658493,0.44031578302383423,0.06808535009622574,0.5797940492630005
90,0.01814531721174717,0.44214022159576416,0.06813447922468185,0.5791078805923462
91,0.01818065531551838,0.4442720413208008,0.06822080165147781,0.5799311399459839
92,0.018057173117995262,0.4415282607078552,0.06802892684936523,0.5808284282684326
93,0.01804431900382042,0.4387323558330536,0.0679134801030159,0.5780213475227356
94,0.018137479200959206,0.44286078214645386,0.06810940057039261,0.5784097909927368
95,0.01812966726720333,0.4418501853942871,0.06812912970781326,0.579612135887146
96,0.01813741773366928,0.44086402654647827,0.06812164932489395,0.5795038938522339
