x,f_ij
-0.4436090225563909,-0.11795549
-0.4285714285714288,-0.112900615
-0.4135338345864663,-0.10784413
-0.3984962406015038,-0.102788165
-0.3834586466165417,-0.097734705
-0.3684210526315792,-0.09268581
-0.3533834586466167,-0.08764346
-0.33834586466165417,-0.08260976
-0.32330827067669166,-0.07758669
-0.3082706766917296,-0.072576314
-0.29323308270676707,-0.06758066
-0.27819548872180455,-0.062601745
-0.2631578947368425,-0.05764159
-0.24812030075187996,-0.052702285
-0.23308270676691745,-0.047785807
-0.21804511278195493,-0.04289423
-0.20300751879699241,-0.03802955
-0.18796992481203034,-0.033193827
-0.17293233082706783,-0.02838908
-0.1578947368421053,-0.023617357
-0.14285714285714324,-0.01888068
-0.12781954887218072,-0.014181066
-0.1127819548872182,-0.00952059
-0.09774436090225569,-0.004901249
-0.08270676691729317,-0.0003250949
-0.0676691729323311,0.004205849
-0.052631578947368585,0.008689534
-0.03759398496240607,0.013123955
-0.022556390977443996,0.01750705
-0.00751879699248148,0.021836795
0.007518796992481036,0.026111213
0.022556390977443552,0.030329593
0.03759398496240607,0.03449247
0.05263157894736814,0.038600467
0.06766917293233066,0.042654157
0.08270676691729317,0.046654142
0.09774436090225525,0.05060105
0.11278195488721776,0.054495454
0.12781954887218028,0.058337964
0.1428571428571428,0.062129185
0.1578947368421053,0.065869704
0.17293233082706738,0.069560125
0.1879699248120299,0.073201075
0.20300751879699241,0.07679313
0.2180451127819545,0.08033687
0.233082706766917,0.08383293
0.24812030075187952,0.0872819
0.26315789473684204,0.09068437
0.27819548872180455,0.094040975
0.2932330827067666,0.097352274
0.30827067669172914,0.10061888
0.32330827067669166,0.10384139
0.33834586466165373,0.10702042
0.35338345864661624,0.11015656
0.36842105263157876,0.11325042
0.3834586466165413,0.11630259
0.3984962406015038,0.11931367
0.41353383458646586,0.12228425
0.4285714285714284,0.12521496
0.4436090225563909,0.12810639
0.45864661654135297,0.13095912
0.4736842105263155,0.13377379
0.488721804511278,0.13655096
0.5037593984962405,0.13929123
0.518796992481203,0.1419952
0.5338345864661651,0.14466351
0.5488721804511276,0.14729677
0.5639097744360901,0.14989552
0.5789473684210522,0.15246035
0.5939849624060147,0.15499195
0.6090225563909772,0.15749088
0.6240601503759398,0.15995769
0.6390977443609023,0.16239303
0.6541353383458643,0.1647975
0.6691729323308269,0.16717169
0.6842105263157894,0.16951619
0.6992481203007515,0.17183161
0.714285714285714,0.17411855
0.7293233082706765,0.17637764
0.744360902255639,0.17860943
0.7593984962406015,0.18081455
0.7744360902255636,0.18299325
0.7894736842105261,0.18514577
0.8045112781954886,0.18727219
0.8195488721804507,0.1893727
0.8345864661654132,0.19144738
0.8496240601503757,0.19349647
0.8646616541353382,0.19552001
0.8796992481203008,0.19751821
0.8947368421052628,0.1994912
0.9097744360902253,0.20143913
0.9248120300751879,0.20336206
0.9398496240601499,0.20526025
0.9548872180451125,0.2071338
0.969924812030075,0.20898281
0.9849624060150375,0.21080753
1.0,0.21260801
1.015037593984962,0.21438436
1.0300751879699241,0.21613686
1.045112781954887,0.2178655
1.0601503759398492,0.21957053
1.0751879699248121,0.22125207
1.0902255639097742,0.22291024
1.1052631578947363,0.2245452
1.1203007518796992,0.2261571
1.1353383458646613,0.22774604
1.1503759398496243,0.22931223
1.1654135338345863,0.23085575
1.1804511278195484,0.23237678
1.1954887218045114,0.23387545
1.2105263157894735,0.23535194
1.2255639097744355,0.23680633
1.2406015037593985,0.23823878
1.2556390977443606,0.2396495
1.2706766917293226,0.24103852
1.2857142857142856,0.24240606
1.3007518796992477,0.24375229
